time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
41861,5514,18079,229,150
41911,5522,18087,229,150
41962,5528,18114,229,150
42012,5536,18129,229,150
42065,5542,18153,229,150
42117,5549,18181,229,150
42168,5557,18201,229,150
42218,5561,18224,229,150
42275,5567,18252,229,150
42327,5574,18276,229,150
42378,5584,18300,229,150
42429,5592,18326,229,150
42482,5598,18338,229,149
42536,5608,18361,229,150
42586,5612,18388,229,150
42636,5619,18404,229,150
42688,5624,18423,229,150
42739,5633,18442,229,150
42789,5640,18455,229,150
42842,5648,18476,229,149
42893,5656,18495,229,150
42943,5662,18514,229,150
42993,5668,18540,229,150
43043,5675,18561,229,150
43095,5681,18576,229,150
43145,5689,18589,229,150
43195,5694,18615,229,150
43245,5701,18636,229,150
43295,5708,18658,229,150
43346,5713,18684,229,150
43396,5719,18704,229,150
43448,5727,18733,229,150
43499,5733,18755,229,150
43550,5742,18766,229,150
43602,5746,18795,229,150
43653,5752,18818,229,150
43703,5757,18836,229,150
43753,5763,18861,229,149
43803,5769,18884,229,150
43855,5776,18914,229,150
43905,5781,18938,229,150
43955,5787,18968,229,150
44007,5791,18997,229,150
44058,5796,19022,229,150
44109,5802,19045,229,150
44160,5807,19080,229,150
44211,5813,19096,229,150
44263,5819,19119,229,150
44314,5827,19194,229,150
44364,5834,19219,229,150
44416,5840,19246,229,150
44466,5845,19274,229,150
44516,5850,19301,229,150
44569,5857,19319,229,150
44623,5867,19343,229,148
44673,5877,19352,229,150
44724,5882,19368,229,150
44774,5889,19382,229,149
44827,5897,19407,229,150
44878,5905,19421,229,150
44934,5912,19457,229,150
44985,5921,19479,229,150
45038,5929,19506,229,150
45089,5935,19529,229,150
45142,5941,19560,229,150
45192,5947,19584,229,150
45244,5952,19606,229,150
45297,5960,19629,229,150
45353,5965,19668,229,150
45405,5971,19693,229,150
45456,5978,19714,229,150
45510,5985,19735,229,150
45563,5993,19757,229,150
45614,5998,19786,229,150
45664,6003,19816,229,150
45715,6011,19837,229,150
45765,6018,19846,229,150
45815,6023,19870,229,150
45867,6030,19892,229,150
45920,6036,19912,229,150
45971,6042,19935,229,150
46022,6049,19952,229,149
46078,6057,19967,229,150
46128,6062,19987,229,150
46180,6068,20007,229,150
46230,6073,20038,229,150
46280,6080,20052,229,150
46330,6089,20066,229,150
46385,6095,20088,229,150
46439,6102,20112,229,150
46492,6109,20135,229,150
46545,6114,20159,229,150
46595,6118,20179,229,150
46648,6125,20203,229,150
46699,6132,20223,229,150
46749,6138,20244,229,150
46800,6146,20271,229,150
46850,6152,20295,229,150
46904,6158,20312,229,150
46955,6164,20338,229,150
47005,6171,20354,229,150
47055,6178,20371,229,150
47106,6184,20393,229,150
47157,6193,20416,229,150
47209,6200,20446,229,150
47259,6205,20478,229,150
47312,6211,20495,229,150
47362,6217,20519,229,150
47412,6222,20546,229,150
47466,6228,20576,229,150
47517,6233,20599,229,150
47570,6237,20623,229,150
47620,6243,20653,229,150
47671,6248,20684,229,150
47723,6257,20713,229,150
47780,6261,20735,229,150
47834,6268,20758,229,150
47884,6274,20783,229,150
47935,6278,20814,229,150
47985,6284,20892,229,150
48035,6289,20920,229,150
48085,6293,20943,229,150
48136,6302,20960,229,150
48187,6309,20982,229,149
48237,6317,20999,229,150
48287,6323,21025,229,150
48338,6332,21046,229,149
48390,6341,21064,229,150
48442,6347,21082,229,150
48492,6353,21100,229,150
48543,6358,21128,229,150
48593,6364,21159,229,150
48645,6370,21193,229,150
48697,6375,21218,229,150
48747,6380,21233,229,150
48797,6386,21250,229,150
48849,6391,21265,229,149
48899,6400,21278,229,150
48949,6408,21299,229,150
48999,6414,21314,229,150
49051,6420,21351,229,150
49101,6425,21370,229,150
49151,6430,21386,229,150
49203,6435,21419,229,150
49258,6442,21439,229,150
49308,6448,21468,229,150
49359,6454,21487,229,150
49409,6463,21509,229,150
49462,6470,21539,229,150
49513,6475,21564,229,150
49564,6483,21588,229,150
49615,6487,21619,229,150
49668,6494,21640,229,150
49718,6500,21669,229,150
49769,6509,21686,229,150
49825,6515,21718,229,150
49876,6521,21739,229,150
49928,6528,21760,229,150
49979,6533,21785,229,150
50031,6538,21807,229,150
50082,6546,21822,229,150
50132,6552,21838,229,150
50185,6557,21858,229,150
50235,6563,21881,229,150
50286,6568,21903,229,150
50336,6576,21921,229,150
50387,6581,21950,229,150
50437,6587,21975,229,150
50487,6591,22012,229,150
50543,6598,22032,229,150
50594,6603,22057,229,150
50644,6608,22074,229,150
50694,6612,22110,229,150
50744,6620,22134,229,150
50794,6626,22157,229,150
50844,6634,22172,229,150
50894,6640,22189,229,150
50944,6646,22205,229,150
50994,6651,22234,229,150
51048,6658,22261,229,149
51099,6667,22277,229,150
51150,6672,22301,229,150
51200,6678,22336,229,149
51250,6685,22369,229,150
51300,6690,22403,229,150
51353,6695,22425,229,150
51403,6703,22445,229,150
51454,6710,22473,229,150
51504,6715,22511,229,150
51559,6722,22529,229,150
51610,6730,22549,229,150
51660,6737,22571,229,150
51710,6744,22589,229,150
51763,6751,22614,229,150
51815,6756,22650,229,150
51865,6761,22671,229,150
51918,6768,22691,229,150
51972,6774,22715,229,150
52024,6781,22744,229,150
52074,6788,22762,229,149
52126,6795,22785,229,150
52179,6802,22802,229,150
52232,6807,22828,229,150
52282,6814,22853,229,150
52334,6822,22867,229,149
52386,6831,22885,229,150
52436,6837,22907,229,150
52489,6844,22927,229,150
52541,6850,22953,229,150
52592,6858,22977,229,150
52644,6863,22998,229,150
52697,6869,23011,229,150
52747,6876,23032,229,150
52800,6882,23056,229,150
52852,6887,23071,229,149
52906,6895,23097,229,148
52956,6903,23115,229,150
53008,6908,23139,229,150
53059,6914,23160,229,150
53109,6923,23178,229,150
53159,6927,23200,229,150
53209,6933,23210,229,150
